                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1923,                0.98892,                 1.1549,                0.74944,                 0.6031,                0.68106,                0.40276,                   1.54,                 1.2899,                 1.4051,             0.00071702,             0.00071702,             0.00071702
                     35,                 1.1988,                0.96716,                 1.1397,                 0.7974,                0.57257,                0.68928,                0.40248,                   1.54,                  1.269,                 1.4107,             0.00071102,             0.00071102,             0.00071102
                     36,                 1.1815,                0.95891,                  1.159,                 0.7113,                0.65628,                0.67063,                0.40431,                 1.4901,                 1.4057,                 1.3785,             0.00070502,             0.00070502,             0.00070502
                     37,                 1.1686,                0.95788,                 1.1614,                0.80265,                0.62278,                0.70785,                0.42529,                 1.5204,                 1.2455,                 1.3883,             0.00069902,             0.00069902,             0.00069902
                     38,                 1.1833,                0.93259,                 1.1358,                0.75057,                0.62976,                0.70297,                0.40565,                 1.5484,                 1.2982,                 1.4294,             0.00069302,             0.00069302,             0.00069302
                     39,                 1.2191,                0.97305,                  1.153,                0.74543,                0.65547,                0.70436,                0.42451,                  1.517,                  1.239,                 1.4024,             0.00068702,             0.00068702,             0.00068702
                     40,                 1.1527,                0.92121,                  1.137,                0.69192,                0.63579,                0.66955,                 0.4062,                 1.5351,                 1.2684,                 1.3882,             0.00068102,             0.00068102,             0.00068102
                     41,                 1.1606,                 0.9128,                 1.1308,                0.70685,                 0.6356,                0.69061,                0.40336,                 1.5212,                 1.2799,                 1.3958,             0.00067502,             0.00067502,             0.00067502
                     42,                 1.1823,                0.94471,                 1.1649,                0.78605,                0.63374,                0.69353,                0.41346,                 1.5264,                  1.259,                 1.4004,             0.00066902,             0.00066902,             0.00066902
                     43,                 1.1205,                0.91186,                 1.1211,                0.77743,                0.67522,                0.72546,                0.44596,                 1.4878,                 1.2363,                 1.3663,             0.00066302,             0.00066302,             0.00066302
                     44,                  1.134,                0.86738,                 1.1144,                0.72132,                0.67326,                0.69622,                0.42014,                 1.5015,                 1.2672,                 1.3943,             0.00065703,             0.00065703,             0.00065703
                     45,                 1.1487,                0.89404,                 1.1369,                0.75276,                 0.6828,                0.72711,                0.43213,                  1.509,                 1.2271,                 1.3813,             0.00065103,             0.00065103,             0.00065103
                     46,                 1.1398,                0.88204,                 1.1113,                0.72688,                0.65362,                0.69665,                 0.4193,                 1.5214,                   1.21,                 1.3925,             0.00064503,             0.00064503,             0.00064503
                     47,                 1.1314,                0.84783,                 1.1061,                0.78152,                0.64614,                0.71324,                0.41907,                 1.5123,                 1.2249,                 1.4129,             0.00063903,             0.00063903,             0.00063903
                     48,                  1.107,                0.88364,                  1.106,                 0.7294,                0.63037,                0.68634,                0.41817,                  1.506,                 1.2731,                 1.3869,             0.00063303,             0.00063303,             0.00063303
                     49,                 1.0919,                0.83757,                  1.111,                0.71922,                0.71054,                0.72744,                0.42617,                 1.5124,                 1.2067,                 1.4053,             0.00062703,             0.00062703,             0.00062703
                     50,                 1.1233,                0.84084,                 1.1063,                0.73119,                0.68269,                0.71427,                0.42518,                 1.5479,                 1.2299,                 1.4047,             0.00062103,             0.00062103,             0.00062103
                     51,                 1.1277,                0.84678,                 1.0983,                0.71711,                0.64146,                0.70806,                0.43241,                  1.513,                  1.243,                 1.3988,             0.00061503,             0.00061503,             0.00061503
                     52,                 1.0875,                0.81902,                 1.1055,                 0.7194,                 0.6749,                0.72203,                0.44038,                 1.5004,                  1.182,                 1.3844,             0.00060903,             0.00060903,             0.00060903
                     53,                 1.1024,                0.80865,                 1.1067,                0.73655,                0.71371,                0.73974,                0.44232,                 1.5096,                 1.1818,                 1.4026,             0.00060303,             0.00060303,             0.00060303
                     54,                 1.0635,                0.80638,                 1.0911,                0.74496,                0.66519,                0.73517,                0.43822,                 1.4947,                 1.1796,                 1.3912,             0.00059703,             0.00059703,             0.00059703
                     55,                 1.0853,                0.81064,                 1.1066,                0.79429,                0.62952,                0.69899,                0.41761,                 1.5234,                 1.2551,                 1.4078,             0.00059103,             0.00059103,             0.00059103
                     56,                  1.066,                0.79506,                  1.086,                0.73774,                0.67203,                 0.7322,                0.43125,                 1.5052,                 1.2087,                 1.3997,             0.00058503,             0.00058503,             0.00058503
                     57,                 1.0708,                0.78051,                 1.0825,                0.72136,                0.68877,                0.71432,                0.43167,                 1.5123,                 1.1787,                 1.3995,             0.00057903,             0.00057903,             0.00057903
                     58,                 1.0667,                0.76794,                  1.078,                0.76927,                0.63726,                0.70423,                0.42038,                 1.5484,                 1.2105,                 1.4073,             0.00057303,             0.00057303,             0.00057303
                     59,                  1.083,                0.76903,                 1.0864,                0.77443,                0.69632,                0.71772,                0.41542,                 1.5174,                 1.1544,                 1.4036,             0.00056703,             0.00056703,             0.00056703
                     60,                 1.0852,                0.78394,                  1.099,                0.71823,                0.69898,                0.71281,                0.41054,                 1.5313,                 1.1884,                 1.3849,             0.00056103,             0.00056103,             0.00056103
                     61,                 1.0136,                0.74356,                  1.063,                 0.7625,                0.65003,                0.71448,                0.41839,                 1.5293,                  1.163,                  1.406,             0.00055504,             0.00055504,             0.00055504
                     62,                 1.0356,                 0.7601,                 1.0772,                0.75304,                 0.6452,                0.71143,                0.41804,                 1.5024,                 1.1589,                 1.4072,             0.00054904,             0.00054904,             0.00054904
                     63,                 1.0764,                0.76052,                 1.0749,                0.74099,                0.67382,                0.70314,                0.42205,                  1.512,                 1.2005,                 1.3981,             0.00054304,             0.00054304,             0.00054304
                     64,                 1.0293,                0.74495,                 1.0583,                0.77324,                  0.645,                0.69519,                0.42055,                 1.5194,                 1.1881,                 1.3874,             0.00053704,             0.00053704,             0.00053704
